rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.14,0.2,94.84
2,3,Barcelona,Spanish Primera Division,3.2,0.37,93.04
3,2,Liverpool,Barclays Premier League,2.8,0.21,92.89
4,4,Bayern Munich,German Bundesliga,3.16,0.39,92.57
5,5,Paris Saint-Germain,French Ligue 1,2.96,0.44,90.54
6,6,Real Madrid,Spanish Primera Division,2.8,0.58,86.99
7,8,Atletico Madrid,Spanish Primera Division,2.16,0.27,86.63
8,7,Juventus,Italy Serie A,2.42,0.42,86.13
9,9,Chelsea,Barclays Premier League,2.45,0.48,85.26
10,10,Ajax,Dutch Eredivisie,3.06,0.92,83.75
11,12,Napoli,Italy Serie A,2.29,0.51,82.97
12,11,Tottenham Hotspur,Barclays Premier League,2.35,0.55,82.88
13,13,Valencia,Spanish Primera Division,2.1,0.43,82.32
14,15,Arsenal,Barclays Premier League,2.41,0.63,81.93
15,16,Borussia Dortmund,German Bundesliga,2.36,0.62,81.57
16,19,RB Leipzig,German Bundesliga,2.18,0.51,81.53
17,14,Sevilla FC,Spanish Primera Division,2.37,0.64,81.34
18,22,FC Porto,Portuguese Liga,2.3,0.66,79.89
19,17,Manchester United,Barclays Premier League,2.36,0.71,79.74
20,21,Eibar,Spanish Primera Division,2.21,0.61,79.7
21,20,Internazionale,Italy Serie A,2.13,0.58,79.24
22,24,Atalanta,Italy Serie A,2.35,0.72,79.21
23,26,Athletic Bilbao,Spanish Primera Division,1.9,0.45,78.97
24,18,Getafe,Spanish Primera Division,1.86,0.45,78.35
25,31,FC Salzburg,Austrian T-Mobile Bundesliga,2.53,0.9,77.99
26,23,Olympiacos,Greek Super League,2.31,0.76,77.95
27,28,Eintracht Frankfurt,German Bundesliga,2.16,0.68,77.57
28,27,Bayer Leverkusen,German Bundesliga,2.31,0.79,77.19
29,29,PAOK Salonika,Greek Super League,2.24,0.75,77.14
30,33,Lazio,Italy Serie A,2.04,0.62,77.13
31,25,Benfica,Portuguese Liga,2.21,0.74,77.07
32,32,Real Sociedad,Spanish Primera Division,2.0,0.62,76.4
33,30,PSV,Dutch Eredivisie,2.4,0.91,76.16
34,40,Leganes,Spanish Primera Division,1.81,0.52,75.86
35,34,TSG Hoffenheim,German Bundesliga,2.52,1.01,75.75
36,37,Lyon,French Ligue 1,2.2,0.81,75.14
37,36,AC Milan,Italy Serie A,1.86,0.62,74.3
38,35,Young Boys,Swiss Raiffeisen Super League,2.29,0.96,73.44
39,41,Villarreal,Spanish Primera Division,2.07,0.8,73.32
40,38,AS Roma,Italy Serie A,2.24,0.93,73.25
41,39,Girona FC,Spanish Primera Division,1.96,0.74,72.96
42,45,Leicester City,Barclays Premier League,1.93,0.73,72.86
43,52,Everton,Barclays Premier League,1.9,0.71,72.75
44,43,Galatasaray,Turkish Turkcell Super Lig,2.2,0.93,72.58
45,46,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.73,0.61,72.07
46,48,Shakhtar Donetsk,UEFA Europa League,2.15,0.93,71.79
47,49,Crystal Palace,Barclays Premier League,1.93,0.77,71.76
48,44,Real Betis,Spanish Primera Division,1.88,0.74,71.59
49,63,FC Krasnodar,Russian Premier Liga,1.91,0.76,71.49
50,50,Espanyol,Spanish Primera Division,1.89,0.76,71.41
51,42,CSKA Moscow,Russian Premier Liga,1.74,0.66,71.1
52,47,Alavés,Spanish Primera Division,1.84,0.75,70.62
53,51,Wolverhampton,Barclays Premier League,1.81,0.73,70.53
54,65,Club Brugge,Belgian Jupiler League,2.08,0.94,70.26
55,57,Watford,Barclays Premier League,2.0,0.89,70.2
56,56,Sampdoria,Italy Serie A,2.04,0.94,69.85
57,53,Werder Bremen,German Bundesliga,2.06,0.96,69.71
58,55,Palmeiras,Brasileiro Série A,1.73,0.71,69.61
59,61,Fiorentina,Italy Serie A,1.91,0.87,69.0
60,67,Lille,French Ligue 1,1.75,0.75,68.97
61,59,SD Huesca,Spanish Primera Division,1.94,0.9,68.88
62,62,Dynamo Kiev,UEFA Europa League,1.98,0.94,68.7
63,58,Borussia Monchengladbach,German Bundesliga,1.97,0.93,68.66
64,66,Sporting CP,Portuguese Liga,1.85,0.84,68.48
65,60,FC Copenhagen,Danish SAS-Ligaen,2.08,1.03,68.4
66,64,Torino,Italy Serie A,1.74,0.77,68.29
67,54,Marseille,French Ligue 1,1.73,0.78,67.88
68,68,Flamengo,Brasileiro Série A,1.7,0.78,67.07
69,73,Southampton,Barclays Premier League,1.8,0.87,66.93
70,69,Newcastle,Barclays Premier League,1.71,0.82,66.53
71,72,Real Valladolid,Spanish Primera Division,1.74,0.84,66.52
72,70,VfL Wolfsburg,German Bundesliga,1.86,0.94,66.45
73,71,St Etienne,French Ligue 1,1.72,0.83,66.27
74,79,Celtic,Scottish Premiership,1.8,0.91,65.88
75,82,Rayo Vallecano,Spanish Primera Division,1.79,0.91,65.85
76,76,Grêmio,Brasileiro Série A,1.58,0.74,65.74
77,75,AFC Bournemouth,Barclays Premier League,1.89,1.01,65.4
78,92,Lokomotiv Moscow,Russian Premier Liga,1.63,0.8,65.21
79,84,Celta Vigo,Spanish Primera Division,1.89,1.02,65.03
80,86,Burnley,Barclays Premier League,1.81,0.96,65.02
81,77,Stade Rennes,French Ligue 1,1.67,0.85,64.97
82,83,Guangzhou Evergrande,Chinese Super League,1.97,1.1,64.89
83,89,Basel,Swiss Raiffeisen Super League,1.96,1.09,64.67
84,106,AEK Athens,Greek Super League,1.49,0.71,64.65
85,107,LASK Linz,Austrian T-Mobile Bundesliga,1.84,1.0,64.62
86,85,Besiktas,Turkish Turkcell Super Lig,2.16,1.27,64.52
87,81,Levante,Spanish Primera Division,1.93,1.09,64.4
88,88,Ludogorets,UEFA Europa League,1.68,0.89,64.16
89,78,Nantes,French Ligue 1,1.55,0.78,64.13
90,101,Zenit St Petersburg,Russian Premier Liga,1.69,0.9,63.94
91,80,FC Midtjylland,Danish SAS-Ligaen,2.0,1.16,63.89
92,116,Genk,Belgian Jupiler League,1.86,1.05,63.7
93,93,AZ,Dutch Eredivisie,1.84,1.04,63.69
94,91,Genoa,Italy Serie A,1.69,0.92,63.49
95,87,Feyenoord,Dutch Eredivisie,2.19,1.35,63.36
96,94,Schalke 04,German Bundesliga,1.78,1.0,63.35
97,74,Hertha Berlin,German Bundesliga,1.87,1.08,63.33
98,95,Red Star Belgrade,UEFA Champions League,2.02,1.21,63.24
99,113,Spartak Moscow,Russian Premier Liga,1.73,0.97,63.23
100,96,Leeds United,English League Championship,1.71,0.96,63.1
101,97,Montpellier,French Ligue 1,1.6,0.87,63.06
102,99,Braga,Portuguese Liga,1.62,0.9,62.61
103,103,Viktoria Plzen,UEFA Europa League,1.98,1.22,62.31
104,102,Brighton and Hove Albion,Barclays Premier League,1.64,0.93,62.21
105,119,Angers,French Ligue 1,1.56,0.86,62.08
106,108,Bologna,Italy Serie A,1.71,1.0,61.94
107,112,River Plate,Argentina Primera Division,1.61,0.92,61.93
108,98,Tigres UANL,Mexican Primera Division Torneo Clausura,1.67,0.97,61.92
109,90,West Ham United,Barclays Premier League,1.8,1.1,61.56
110,104,Sassuolo,Italy Serie A,1.72,1.02,61.55
111,105,Monterrey,Mexican Primera Division Torneo Clausura,1.71,1.02,61.5
112,114,Boca Juniors,Argentina Primera Division,1.57,0.9,61.42
113,100,Sheffield United,English League Championship,1.59,0.93,61.31
114,120,Club América,Mexican Primera Division Torneo Clausura,1.65,0.98,61.24
115,110,Reims,French Ligue 1,1.5,0.85,61.21
116,111,Internacional,Brasileiro Série A,1.51,0.86,61.16
117,109,AS Monaco,French Ligue 1,1.59,0.95,60.72
118,117,SC Freiburg,German Bundesliga,1.76,1.1,60.63
119,118,Strasbourg,French Ligue 1,1.55,0.92,60.55
120,121,Dinamo Zagreb,UEFA Europa League,1.55,0.93,60.37
121,126,Fortuna Düsseldorf,German Bundesliga,1.74,1.12,59.81
122,123,Atletico Mineiro,Brasileiro Série A,1.58,0.98,59.55
123,115,Shanghai SIPG,Chinese Super League,1.82,1.2,59.46
124,135,Standard Liege,Belgian Jupiler League,1.79,1.18,59.45
125,124,Atlético Paranaense,Brasileiro Série A,1.51,0.93,59.44
126,130,Racing Club,Argentina Primera Division,1.51,0.93,59.4
127,127,Bordeaux,French Ligue 1,1.44,0.87,59.25
128,131,Norwich City,English League Championship,1.78,1.18,59.21
129,129,Nice,French Ligue 1,1.37,0.81,59.19
130,128,Aston Villa,English League Championship,1.7,1.11,59.18
131,136,Cagliari,Italy Serie A,1.67,1.09,59.08
132,122,FC Augsburg,German Bundesliga,1.8,1.21,58.9
133,125,Malmo FF,Swedish Allsvenskan,1.66,1.11,58.38
134,132,VfB Stuttgart,German Bundesliga,1.69,1.15,58.16
135,134,Rangers,Scottish Premiership,1.73,1.18,58.14
136,133,Brentford,English League Championship,1.64,1.11,57.98
137,142,Beijing Guoan,Chinese Super League,1.73,1.19,57.73
138,137,Cardiff City,Barclays Premier League,1.6,1.08,57.68
139,143,Empoli,Italy Serie A,1.69,1.17,57.63
140,138,Nimes,French Ligue 1,1.62,1.11,57.51
141,141,Mainz,German Bundesliga,1.69,1.17,57.49
142,139,Trabzonspor,Turkish Turkcell Super Lig,1.8,1.28,57.41
143,140,São Paulo,Brasileiro Série A,1.34,0.85,57.4
144,144,Spal,Italy Serie A,1.5,1.02,56.88
145,151,Toulouse,French Ligue 1,1.49,1.02,56.81
146,146,FC Astana,UEFA Europa League,1.67,1.18,56.76
147,147,Fulham,Barclays Premier League,1.65,1.17,56.61
148,150,Udinese,Italy Serie A,1.55,1.09,56.36
149,149,Santos,Brasileiro Série A,1.39,0.94,56.35
